,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
104651,911613494,aae308f4-9f9c-4cdd-b4ef-c026f48be551,dcdf5a05-2e65-43d9-9cbb-aaaaaf659a8b,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis nigrocincta,,SPECIES,"Apis nigrocincta Smith, 1861",Apis (Apis) nigrocincta,,ID,Jeneponto,Sulawesi,,NA,b554c320-0560-11d8-b851-b8a03c50a862,-5.7,119.683333,NA,NA,NA,NA,NA,NA,1989-06-08T00:00:00,8,6,1989,1341980,1341980,PRESERVED_SPECIMEN,KU,SEMC,1290179,,,,CC_BY_4_0,,"Otis, Gard",,,2020-06-08T17:48:56.385Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
169251,911613694,aae308f4-9f9c-4cdd-b4ef-c026f48be551,c79c75af-d8a1-4d64-b2ab-fb9c2824c3ba,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis nigrocincta,,SPECIES,"Apis nigrocincta Smith, 1861",Apis (Apis) nigrocincta,,ID,Ubud,Bali,,NA,b554c320-0560-11d8-b851-b8a03c50a862,-8.5098,115.2654,3036,NA,NA,NA,NA,NA,1999-10-28T00:00:00,28,10,1999,1341980,1341980,PRESERVED_SPECIMEN,KU,SEMC,1290216,,,,CC_BY_4_0,,"Roubik, David",,,2020-06-08T17:48:44.210Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84
169365,911613564,aae308f4-9f9c-4cdd-b4ef-c026f48be551,9ee4b428-a169-4322-a906-6db91ae821d7,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis nigrocincta,,SPECIES,"Apis nigrocincta Smith, 1861",Apis (Apis) nigrocincta,,ID,"Palolo Valley, Kamarora",Sulawesi,,NA,b554c320-0560-11d8-b851-b8a03c50a862,-1.2,120.116667,NA,NA,600,0,NA,NA,1995-11-11T00:00:00,11,11,1995,1341980,1341980,PRESERVED_SPECIMEN,KU,SEMC,1290194,,"Engel, Michael",2000-01-01T00:00:00,CC_BY_4_0,,"Otis, Gard",,,2020-06-08T17:48:34.015Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
169685,911613635,aae308f4-9f9c-4cdd-b4ef-c026f48be551,2129945d-a3ad-4153-9cf8-48ce616a3882,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis nigrocincta,,SPECIES,"Apis nigrocincta Smith, 1861",Apis (Apis) nigrocincta,,ID,Tabo Tabo Forestry Center,Sulawesi,,NA,b554c320-0560-11d8-b851-b8a03c50a862,-4.833333,119.633333,NA,NA,70,0,NA,NA,1989-06-03T00:00:00,3,6,1989,1341980,1341980,PRESERVED_SPECIMEN,KU,SEMC,1290136,,,,CC_BY_4_0,,"Otis, Gard",,,2020-06-08T17:48:30.675Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
195113,872716956,84ab7b76-f762-11e1-a439-00145eb45e9a,urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUC__124271,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis nigrocincta,,SPECIES,"Apis nigrocincta Smith, 1861",Apis nigrocincta,,PH,"Mindanao Island, Philippines",,,1,5ffa575c-fcd4-4583-9611-545f67b04316,8,125,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1341980,1341980,PRESERVED_SPECIMEN,"C.A. Triplehorn Insect Collection, Ohio State University, Columbus, OH (OSUC)",Insects,OSUC 124271,,,2002-01-01T00:00:00,CC_BY_4_0,,"Blickle, R. L.",,,2020-06-08T20:08:09.387Z,,GEODETIC_DATUM_ASSUMED_WGS84
224687,911613729,aae308f4-9f9c-4cdd-b4ef-c026f48be551,88f30020-d1b8-448a-8b0f-3b473f331536,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis nigrocincta,,SPECIES,"Apis nigrocincta Smith, 1861",Apis (Apis) nigrocincta,,ID,Besakih,Bali,,NA,b554c320-0560-11d8-b851-b8a03c50a862,-8.3737,115.4525,3036,NA,1200,0,NA,NA,1999-10-30T00:00:00,30,10,1999,1341980,1341980,PRESERVED_SPECIMEN,KU,SEMC,1290217,,,,CC_BY_4_0,,"Roubik, David",,,2020-06-08T17:48:33.685Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84
