"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"17649",2006033406,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/18004672","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis koschevnikovi","","SPECIES","Apis koschevnikovi Enderlein, 1906","Apis koschevnikovi","","MY","","Sabah","",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",5.967791,116.096858,9,NA,NA,NA,NA,NA,"2018-10-31T00:00:00",31,10,2018,1341977,1341977,"HUMAN_OBSERVATION","iNaturalist","Observations","18004672","","","2019-02-26T16:33:11","CC_BY_NC_4_0","Gabriel","Gabriel","","","2020-06-11T18:08:51.310Z","StillImage;StillImage;StillImage;StillImage;StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"46790",2465327102,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/36096917","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis koschevnikovi","","SPECIES","Apis koschevnikovi Enderlein, 1906","Apis koschevnikovi","","MY","","Sabah","",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",6.047803,116.702811,NA,NA,NA,NA,NA,NA,"2019-09-13T11:28:00",13,9,2019,1341977,1341977,"HUMAN_OBSERVATION","iNaturalist","Observations","36096917","","","2019-11-26T14:44:50","CC_BY_NC_4_0","pfaucher","pfaucher","","","2020-06-11T18:08:57.099Z","StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"104033",911612480,"aae308f4-9f9c-4cdd-b4ef-c026f48be551","f42d4095-668a-410f-8871-ffd8cb807b0a","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis koschevnikovi","","SPECIES","Apis koschevnikovi Enderlein, 1906","Apis (Apis) koschevnikovi","","MY","Sabah Tenom, Agricultural Research Station","","",NA,"b554c320-0560-11d8-b851-b8a03c50a862",5.166667,115.95,NA,NA,NA,NA,NA,NA,"1989-05-06T00:00:00",6,5,1989,1341977,1341977,"PRESERVED_SPECIMEN","KU","SEMC","1289220","","","","CC_BY_4_0","","Otis, Gard","","","2020-06-08T17:48:34.358Z","StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"104621",911612812,"aae308f4-9f9c-4cdd-b4ef-c026f48be551","a889d897-124e-4368-b57b-d8aaf1d4068d","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis koschevnikovi","","SPECIES","Apis koschevnikovi Enderlein, 1906","Apis (Apis) koschevnikovi","","MY","Pasoh Forest; Kuala Pilah","Negeri Sembilan","",NA,"b554c320-0560-11d8-b851-b8a03c50a862",2.866667,102.233333,NA,NA,NA,NA,NA,NA,"1995-11-18T00:00:00",18,11,1995,1341977,1341977,"PRESERVED_SPECIMEN","KU","SEMC","1289136","","","","CC_BY_4_0","","Otis, Gard","","","2020-06-08T17:48:55.833Z","StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"104639",911612665,"aae308f4-9f9c-4cdd-b4ef-c026f48be551","c774ff91-2e63-425b-9623-0f10a2f040e7","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis koschevnikovi","","SPECIES","Apis koschevnikovi Enderlein, 1906","Apis (Apis) koschevnikovi","","MY","Sabah Tenom, Agricultural Research Station","","",NA,"b554c320-0560-11d8-b851-b8a03c50a862",5.2,115.9,NA,NA,200,0,NA,NA,"1989-05-10T00:00:00",10,5,1989,1341977,1341977,"PRESERVED_SPECIMEN","KU","SEMC","1288719","","","","CC_BY_4_0","","Otis, Gard","","","2020-06-08T17:48:56.110Z","StillImage","GEODETIC_DATUM_ASSUMED_WGS84"
"195107",1099983275,"84ab7b76-f762-11e1-a439-00145eb45e9a","urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUC__588427","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis koschevnikovi","","SPECIES","Apis koschevnikovi Enderlein, 1906","Apis koschevnikovi","","MY","vicinity of Mount Buda, 04°13'N 114°56'E, 300ft, 2° dipterocarp forest, Sarawak St., Malaysia","Sarawak","",1,"5ffa575c-fcd4-4583-9611-545f67b04316",4.2167,114.9333,NA,NA,NA,NA,NA,NA,"1996-11-04T00:00:00",4,11,1996,1341977,1341977,"PRESERVED_SPECIMEN","C.A. Triplehorn Insect Collection, Ohio State University, Columbus, OH (OSUC)","Insects","OSUC 588427","","Yanega, D. (Douglas)","2014-01-01T00:00:00","CC_BY_4_0","","Mudge, A. D.","","","2020-06-08T20:08:10.683Z","","GEODETIC_DATUM_ASSUMED_WGS84"
"203799",2465236070,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/34488322","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis koschevnikovi","","SPECIES","Apis koschevnikovi Enderlein, 1906","Apis koschevnikovi","","MY","","Sabah","",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",4.962744,117.802943,7,NA,NA,NA,NA,NA,"2019-10-17T07:02:05",17,10,2019,1341977,1341977,"HUMAN_OBSERVATION","iNaturalist","Observations","34488322","","","2019-11-27T17:34:34","CC_BY_NC_4_0","Needhi K. Thangasamy","Needhi K. Thangasamy","","","2020-06-11T18:09:01.350Z","StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
