"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"104080",991921980,"aae308f4-9f9c-4cdd-b4ef-c026f48be551","3f247617-7461-4544-8434-3cd54c2a81b0","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis andreniformis","","SPECIES","Apis andreniformis Smith, 1858","Apis (Micrapis) andreniformis","","MY","Pekan Air Panas","Johor","",NA,"b554c320-0560-11d8-b851-b8a03c50a862",1.9,102.75,NA,NA,NA,NA,NA,NA,"1989-01-27T00:00:00",27,1,1989,1341975,1341975,"PRESERVED_SPECIMEN","KU","SEMC","1295787","","Alexander, Byron","","CC_BY_4_0","","Otis, Gard","","","2020-06-08T17:48:32.650Z","StillImage","GEODETIC_DATUM_ASSUMED_WGS84"
"145514",2529391645,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/36697442","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis andreniformis","","SPECIES","Apis andreniformis Smith, 1858","Apis andreniformis","","KH","","Kaôh Kong","",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",11.579902,103.126986,100,NA,NA,NA,NA,NA,"2019-11-04T21:30:07",4,11,2019,1341975,1341975,"HUMAN_OBSERVATION","iNaturalist","Observations","36697442","","","2019-12-16T08:08:35","CC_BY_4_0","Gerard 'Gee' Chartier","Gerard 'Gee' Chartier","","","2020-06-11T18:08:56.619Z","StillImage;StillImage;StillImage","GEODETIC_DATUM_ASSUMED_WGS84"
"147206",1039131673,"96404cc2-f762-11e1-a439-00145eb45e9a","urn:uuid:971b41fb-84db-4fb3-b2f7-7b102ee165a5","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis andreniformis","","SPECIES","Apis andreniformis Smith, 1858","Apis andreniformis","Smith","TH","Khao Yai Park","Nakhon Ratchasima Province","",1,"2e167bb0-4441-11db-9ba2-b8a03c50a862",16.9,99.233333,481,NA,NA,NA,NA,NA,"1984-12-30T00:00:00",30,12,1984,1341975,1341975,"PRESERVED_SPECIMEN","YPM","ENT","YPM ENT 705260","","Gard W. Otis","1990-01-01T00:00:00","CC0_1_0","Yale Peabody Museum of Natural History","Fred C. Dyer","","","2020-06-14T00:15:29.212Z","",""
"147929",1039150068,"96404cc2-f762-11e1-a439-00145eb45e9a","urn:uuid:b042aa7b-098c-4c76-9a46-2b5c888c9c37","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis andreniformis","","SPECIES","Apis andreniformis Smith, 1858","Apis andreniformis","Smith","TH","Khao Yai Park","Nakhon Ratchasima Province","",1,"2e167bb0-4441-11db-9ba2-b8a03c50a862",14.43542,101.378345,4040,NA,800,NA,NA,NA,"1984-12-16T00:00:00",16,12,1984,1341975,1341975,"PRESERVED_SPECIMEN","YPM","ENT","YPM ENT 704854","","Gard W. Otis","1990-01-01T00:00:00","CC0_1_0","Yale Peabody Museum of Natural History","Thomas D. Seeley","","","2020-06-14T00:15:29.489Z","",""
"164498",2236854694,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/22404825","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis andreniformis","","SPECIES","Apis andreniformis Smith, 1858","Apis andreniformis","","MY","","Kuala Lumpur","",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",3.156102,101.713145,11,NA,NA,NA,NA,NA,"2019-04-13T14:03:11",13,4,2019,1341975,1341975,"HUMAN_OBSERVATION","iNaturalist","Observations","22404825","","","2019-04-14T11:34:35","CC_BY_NC_4_0","Tomas Maul","Tomas Maul","","","2020-06-11T18:08:53.165Z","StillImage;StillImage;StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"197774",1414197165,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=BOFTH593-10","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis andreniformis","","UNRANKED","BOLD:AAC5729","BOLD:AAC5729","","TH","","Phetchaburi","",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",12.535,99.471,NA,NA,NA,NA,NA,NA,"2008-07-04T00:00:00",4,7,2008,10591179,1341975,"MATERIAL_SAMPLE","","","","","Jason Gibbs","","CC_BY_4_0","Barcode of Life Datasystems","Akaradate &Thongbai","","","2020-06-11T08:42:47.395Z","StillImage","GEODETIC_DATUM_ASSUMED_WGS84"
"197826",1414197440,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=BOFTW297-10","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis andreniformis","","UNRANKED","BOLD:AAC5729","BOLD:AAC5729","","TH","","Loei","",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",17.4942,101.35,NA,NA,1167,0,NA,NA,"2007-05-12T00:00:00",12,5,2007,10591179,1341975,"MATERIAL_SAMPLE","","","","","","","CC_BY_4_0","Barcode of Life Datasystems","P. Tumtip","","","2020-06-11T08:43:21.900Z","StillImage","GEODETIC_DATUM_ASSUMED_WGS84"
"197892",1414197232,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=BOFTH574-10","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis andreniformis","","UNRANKED","BOLD:AAC5729","BOLD:AAC5729","","TH","","Chanthaburi","",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",13.002,102.285,NA,NA,197,0,NA,NA,"2005-01-16T00:00:00",16,1,2005,10591179,1341975,"MATERIAL_SAMPLE","","","","","Jason Gibbs","","CC_BY_4_0","Barcode of Life Datasystems","","","","2020-06-11T08:42:48.011Z","StillImage","GEODETIC_DATUM_ASSUMED_WGS84"
"207186",2620143608,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/44691160","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis andreniformis","","SPECIES","Apis andreniformis Smith, 1858","Apis andreniformis","","SG","","East","",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",1.331783,103.942817,263,NA,NA,NA,NA,NA,"2020-04-07T13:40:03",7,4,2020,1341975,1341975,"HUMAN_OBSERVATION","iNaturalist","Observations","44691160","","","2020-05-03T05:02:02","CC_BY_NC_4_0","Patricia","Patricia","","","2020-06-11T18:11:03.674Z","StillImage;StillImage;StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"224900",991922142,"aae308f4-9f9c-4cdd-b4ef-c026f48be551","49713a67-8204-43d8-afb8-56ccfbc3c209","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis andreniformis","","SPECIES","Apis andreniformis Smith, 1858","Apis (Micrapis) andreniformis","","LK","Laxapithiya, 13 mi S of Colombo","Western Province","",NA,"b554c320-0560-11d8-b851-b8a03c50a862",6.74277,79.84778,16832,NA,NA,NA,NA,NA,"1957-03-01T00:00:00",NA,3,1957,1341975,1341975,"PRESERVED_SPECIMEN","KU","SEMC","1295949","","","","CC_BY_4_0","","Perera, R","","","2020-06-08T17:48:33.443Z","StillImage","GEODETIC_DATUM_ASSUMED_WGS84"
